,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
0,pAIAExNekBDCCv7i_kzMQQ,los-andes-restaurant-providence,Los Andes Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/8trtunu5cJgfvlRYFRcz3A/o.jpg,False,https://www.yelp.com/biz/los-andes-restaurant-providence?adjust_creative=OB7bJxGzBA_Gc49Z1rFK5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OB7bJxGzBA_Gc49Z1rFK5w,2648,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'peruvian', 'title': 'Peruvian'}]",4.5,"{'latitude': 41.8332008774112, 'longitude': -71.4371953681014}","['pickup', 'delivery']",$$,"{'address1': '903 Chalkstone Ave', 'address2': '', 'address3': '', 'city': 'Providence', 'zip_code': '02908', 'country': 'US', 'state': 'RI', 'display_address': ['903 Chalkstone Ave', 'Providence, RI 02908']}",+14016494911,(401) 649-4911,2020.8448304905426
1,37UKeSnOnvPkzqVbXtC3rw,pastiche-fine-desserts-providence-2,Pastiche Fine Desserts,https://s3-media3.fl.yelpcdn.com/bphoto/yQK4b2nAHZCnNWz8KC02cg/o.jpg,False,https://www.yelp.com/biz/pastiche-fine-desserts-providence-2?adjust_creative=OB7bJxGzBA_Gc49Z1rFK5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OB7bJxGzBA_Gc49Z1rFK5w,1179,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.5,"{'latitude': 41.82414, 'longitude': -71.42656}",['delivery'],$$,"{'address1': '92 Spruce St', 'address2': '', 'address3': '', 'city': 'Providence', 'zip_code': '02903', 'country': 'US', 'state': 'RI', 'display_address': ['92 Spruce St', 'Providence, RI 02903']}",+14018615190,(401) 861-5190,986.1279764235748
2,P-2zSdHB1rudqS5oGNIlqg,east-side-pockets-providence,East Side Pockets,https://s3-media2.fl.yelpcdn.com/bphoto/GD1rJUfwhsMbK57gCFZWTg/o.jpg,False,https://www.yelp.com/biz/east-side-pockets-providence?adjust_creative=OB7bJxGzBA_Gc49Z1rFK5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OB7bJxGzBA_Gc49Z1rFK5w,1157,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'syrian', 'title': 'Syrian'}, {'alias': 'salad', 'title': 'Salad'}]",4.5,"{'latitude': 41.8296, 'longitude': -71.40104}","['pickup', 'delivery']",$,"{'address1': '278 Thayer St', 'address2': '', 'address3': '', 'city': 'Providence', 'zip_code': '02906', 'country': 'US', 'state': 'RI', 'display_address': ['278 Thayer St', 'Providence, RI 02906']}",+14014531100,(401) 453-1100,1226.8300909830864
3,dTLxsbvgPnlxeTPwYJNqbg,kitchen-providence,Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/s3tTev7VYEmcr82smolINQ/o.jpg,False,https://www.yelp.com/biz/kitchen-providence?adjust_creative=OB7bJxGzBA_Gc49Z1rFK5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OB7bJxGzBA_Gc49Z1rFK5w,643,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,"{'latitude': 41.82035, 'longitude': -71.42197}",['delivery'],$$,"{'address1': '94 Carpenter St', 'address2': '', 'address3': '', 'city': 'Providence', 'zip_code': '02903', 'country': 'US', 'state': 'RI', 'display_address': ['94 Carpenter St', 'Providence, RI 02903']}",+14014746740,(401) 474-6740,837.6457176938364
4,Mxn822gLYwJp128pbwu3hg,gracies-providence,Gracie's,https://s3-media2.fl.yelpcdn.com/bphoto/2ZWjBaKKV9Z7j_JM9KBvfQ/o.jpg,False,https://www.yelp.com/biz/gracies-providence?adjust_creative=OB7bJxGzBA_Gc49Z1rFK5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OB7bJxGzBA_Gc49Z1rFK5w,686,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.5,"{'latitude': 41.82197, 'longitude': -71.41585}",[],$$$,"{'address1': '194 Washington St', 'address2': '', 'address3': '', 'city': 'Providence', 'zip_code': '02903', 'country': 'US', 'state': 'RI', 'display_address': ['194 Washington St', 'Providence, RI 02903']}",+14012727811,(401) 272-7811,425.8547718178373
5,hzIRye7Aw8D9ICxKVe452g,nicks-on-broadway-providence,Nicks On Broadway,https://s3-media3.fl.yelpcdn.com/bphoto/GCJcZG-4aKWVWAFgn8r4GA/o.jpg,False,https://www.yelp.com/biz/nicks-on-broadway-providence?adjust_creative=OB7bJxGzBA_Gc49Z1rFK5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OB7bJxGzBA_Gc49Z1rFK5w,1089,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': 41.818456, 'longitude': -71.434813}",['delivery'],$$,"{'address1': '500 Broadway', 'address2': '', 'address3': '', 'city': 'Providence', 'zip_code': '02909', 'country': 'US', 'state': 'RI', 'display_address': ['500 Broadway', 'Providence, RI 02909']}",+14014210286,(401) 421-0286,1841.2053152854235
6,hxrUV8tJf1MwZbs3nYjrXw,julians-providence,Julians,https://s3-media4.fl.yelpcdn.com/bphoto/i5Q9V_odJkWXHC_lw56oaw/o.jpg,False,https://www.yelp.com/biz/julians-providence?adjust_creative=OB7bJxGzBA_Gc49Z1rFK5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OB7bJxGzBA_Gc49Z1rFK5w,1416,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",4.0,"{'latitude': 41.8200053095932, 'longitude': -71.4283668214766}","['pickup', 'delivery']",$$,"{'address1': '318 Broadway', 'address2': '', 'address3': '', 'city': 'Providence', 'zip_code': '02909', 'country': 'US', 'state': 'RI', 'display_address': ['318 Broadway', 'Providence, RI 02909']}",+14018611770,(401) 861-1770,1278.9412141774992
7,_ETdCsSQ_M-B5x-Vr9tItw,den-den-cafe-asiana-providence-2,Den Den Cafe Asiana,https://s3-media4.fl.yelpcdn.com/bphoto/ubNkU6Jjx71D6cKHhbFWRw/o.jpg,False,https://www.yelp.com/biz/den-den-cafe-asiana-providence-2?adjust_creative=OB7bJxGzBA_Gc49Z1rFK5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OB7bJxGzBA_Gc49Z1rFK5w,699,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'japanese', 'title': 'Japanese'}]",4.5,"{'latitude': 41.8288164, 'longitude': -71.4080846}",['delivery'],$$,"{'address1': '161 Benefit St', 'address2': 'Unit C2-C3', 'address3': '', 'city': 'Providence', 'zip_code': '02903', 'country': 'US', 'state': 'RI', 'display_address': ['161 Benefit St', 'Unit C2-C3', 'Providence, RI 02903']}",+14012705269,(401) 270-5269,656.5464128438293
8,99Sqcd1ZEA0bPSY1rJgjGg,tallulahs-taqueria-providence-4,Tallulah's Taqueria,https://s3-media2.fl.yelpcdn.com/bphoto/H4Aapk8AndhOUty8pzsP2w/o.jpg,False,https://www.yelp.com/biz/tallulahs-taqueria-providence-4?adjust_creative=OB7bJxGzBA_Gc49Z1rFK5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OB7bJxGzBA_Gc49Z1rFK5w,809,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'tex-mex', 'title': 'Tex-Mex'}]",4.5,"{'latitude': 41.822165, 'longitude': -71.392238}",['delivery'],$$,"{'address1': '146 Ives St', 'address2': '', 'address3': '', 'city': 'Providence', 'zip_code': '02906', 'country': 'US', 'state': 'RI', 'display_address': ['146 Ives St', 'Providence, RI 02906']}",+14012728226,(401) 272-8226,1921.9691543911279
9,afoQr3drIs-0vbh42O0Ewg,hemenways-restaurant-providence-2,Hemenway's Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/BhUtJnkKLRMCES60Dq6rwg/o.jpg,False,https://www.yelp.com/biz/hemenways-restaurant-providence-2?adjust_creative=OB7bJxGzBA_Gc49Z1rFK5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OB7bJxGzBA_Gc49Z1rFK5w,822,"[{'alias': 'seafood', 'title': 'Seafood'}]",4.0,"{'latitude': 41.824213500925, 'longitude': -71.4069133352762}",['delivery'],$$$,"{'address1': '121 S Main St', 'address2': '', 'address3': '', 'city': 'Providence', 'zip_code': '02903', 'country': 'US', 'state': 'RI', 'display_address': ['121 S Main St', 'Providence, RI 02903']}",+14013518570,(401) 351-8570,686.1101450706193
